rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k4261,k8523
11,roi,,,,,,,,,,point,,,,spécial,comme,,,,_appendice_,étude,,d'ailleurs,ici,sous,nom,,quelques,,_appendice_,,nom,générale,belleforest,nom,tout,c'est,nom,,c'est,tout,sadler,tout,phrase,voir,hamnet,tout,sadler,comme,nom,saint-paul,nom,hamnet,hamnet,nom,phrase,hamnet,phrase,hamnet,hamnet,hamnet,phrase,cette,déjà,déjà,déjà,déjà,enfants,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,fait,tout,premier,premier,premier,premier,premier,premier,shakspeare,shakspeare,premier,fait,_hamlet_,roi,roi,roi,roi,roi
12,c'est,,,,,,,,,,débat,,,,auquel,point,,,,consacré,plus,,lecteur,,lequel,sous,,raisons,,consacré,,sous,fournira,quelque,connu,l'enfant,sadler,fournira,,sadler,l'enfant,voir,l'enfant,c'est,tout,sadler,l'enfant,tout,phrase,saint-paul,phrase,saint-paul,tout,tout,nouveauté,c'est,tout,hamnet,nom,tout,tout,hamnet,nouveauté,fait,phrase,fait,fait,déjà,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,tout,tout,tout,tout,tout,fait,fait,fait,cela,cela,cela,cela,premier,premier,shakspeare,shakspeare,roi,_hamlet_,c'est,c'est,c'est,c'est
13,...,,,,,,,,,,spécial,,,,borner,débat,,,,comparaison,générale,,trouvera,,jamais,lequel,,encore,,comparaison,,lequel,l'espérons,chose,d'ailleurs,emprunta,légende,l'espérons,,danoise,nom,tout,nom,sadler,l'enfant,voir,nom,l'enfant,c'est,phrase,c'est,troupe,nom,nom,saint-paul,hamnet,nom,tout,nouveauté,nom,nom,nouveauté,saint-paul,nouveauté,hamnet,nouveauté,bien,fait,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,déjà,tout,tout,enfants,enfants,enfants,enfants,enfants,c'est,cela,cela,fait,fait,fait,fait,fait,fait,fait,premier,premier,c'est,_hamlet_,...,...,...
14,qu'il,,,,,,,,,,auquel,,,,ici,spécial,,,,différents,fournira,,fin,,connu,jamais,,conclure,,différents,,jamais,quelques,voir,lecteur,l'orthographe,danoise,quelques,,histoires,cette,l'enfant,cette,voir,nom,tout,cette,nom,sadler,c'est,sadler,phrase,cette,cette,troupe,sadler,cette,nom,saint-paul,cette,cette,saint-paul,troupe,saint-paul,nom,saint-paul,nouveauté,nouveauté,phrase,saint-paul,nouveauté,nouveauté,nouveauté,phrase,nouveauté,tout,tout,tout,tout,déjà,déjà,déjà,déjà,déjà,déjà,déjà,enfants,c'est,...,...,...,...,...,...,...,roi,roi,shakspeare,premier,...,_hamlet_,qu'il,qu'il
15,ainsi,,,,,,,,,,borner,,,,,auquel,,,,textes,l'espérons,,volume,,d'ailleurs,connu,,comme,,textes,,connu,raisons,tout,trouvera,anglaise,histoires,raisons,,belleforest,raisons,nom,conclure,tout,cette,l'enfant,conclure,cette,voir,sadler,voir,c'est,nouveauté,nouveauté,phrase,tout,nouveauté,cette,troupe,nouveauté,nouveauté,troupe,phrase,troupe,fait,troupe,saint-paul,saint-paul,hamnet,phrase,saint-paul,saint-paul,saint-paul,tout,saint-paul,saint-paul,saint-paul,nouveauté,date,saint-paul,nouveauté,phrase,c'est,c'est,c'est,c'est,paysan.,...,c'est,c'est,c'est,roi,roi,roi,roi,...,...,c'est,shakspeare,premier,premier,ainsi,ainsi
16,d'un,,,,,,,,,,ici,,,,,borner,,,,_hamlet_,quelques,,_appendice_,,lecteur,d'ailleurs,,point,,cette,,d'ailleurs,encore,ceci,fin,nom,belleforest,encore,,quelque,encore,sous,comme,fils,générale,nom,comme,ici,tout,voir,tout,sadler,saint-paul,saint-paul,c'est,l'enfant,saint-paul,nouveauté,qu'on,saint-paul,saint-paul,qu'on,c'est,phrase,nouveauté,phrase,troupe,phrase,nouveauté,hamnet,phrase,phrase,troupe,nouveauté,phrase,phrase,phrase,saint-paul,nouveauté,phrase,saint-paul,c'est,osrick.,date,date,paysan.,osrick.,paysan.,paysan.,paysan.,roi,c'est,c'est,c'est,c'est,c'est,c'est,...,...,shakspeare,shakspeare,shakspeare,shakspeare
17,faire,,,,,,,,,,,,,,,ici,,,,cette,raisons,,consacré,,trouvera,lecteur,,débat,,étude,,lecteur,conclure,n'est,volume,sous,quelque,conclure,,chose,conclure,lequel,point,prince,fournira,différents,point,,fils,tout,l'enfant,voir,troupe,troupe,1584,nom,troupe,troupe,c'est,troupe,troupe,c'est,1584,c'est,saint-paul,c'est,phrase,c'est,saint-paul,tout,date,date,phrase,saint-paul,date,date,date,d'une,saint-paul,date,phrase,date,nouveauté,paysan.,paysan.,osrick.,cela,osrick.,osrick.,roi,paysan.,paysan.,paysan.,paysan.,paysan.,paysan.,paysan.,paysan.,paysan.,paysan.,paysan.,horatio.,horatio.
18,horatio.,,,,,,,,,,,,,,,,,,,étude,encore,,comparaison,,fin,trouvera,,spécial,,plus,,trouvera,comme,qu'il,_appendice_,lequel,chose,comme,,voir,comme,jamais,débat,danemark,l'espérons,textes,débat,,l'enfant,fils,stratford-sur-avon,tout,qu'on,qu'on,sadler,cette,qu'on,qu'on,1584,qu'on,qu'on,1584,hamnet,1584,troupe,1584,c'est,1584,troupe,nom,1584,1584,c'est,d'une,1584,nouveauté,nouveauté,troupe,d'une,osrick.,date,osrick.,saint-paul,osrick.,osrick.,...,...,roi,roi,osrick.,osrick.,osrick.,osrick.,osrick.,osrick.,osrick.,osrick.,roi.,roi.,roi.,roi.,roi.,d'un
19,shakspeare,,,,,,,,,,,,,,,,,,,plus,conclure,,différents,,volume,fin,,auquel,,générale,,fin,point,servi,consacré,jamais,voir,point,,tout,point,connu,spécial,naquit,quelques,cette,spécial,,stratford-sur-avon,l'enfant,nom,fils,c'est,c'est,voir,nouveauté,c'est,c'est,sadler,c'est,c'est,sadler,sadler,hamnet,qu'on,hamnet,date,hamnet,qu'on,nouveauté,hamnet,hamnet,date,troupe,hamnet,d'une,d'une,phrase,troupe,nouveauté,1584,nouveauté,d'une,nouveauté,...,date,déjà,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,enfants,roi.,osrick.,osrick.,osrick.,osrick.,d'un,faire
20,aussi,,,,,,,,,,,,,,,,,,,générale,comme,,textes,,_appendice_,volume,,borner,,fournira,,volume,débat,patron,comparaison,connu,tout,débat,,ceci,débat,d'ailleurs,auquel,scène,raisons,étude,auquel,,connu,stratford-sur-avon,_appendice_,l'enfant,second,second,tout,dix,second,second,voir,second,second,voir,voir,sadler,c'est,sadler,1584,tout,c'est,d'une,tout,tout,1584,c'est,tout,troupe,troupe,date,phrase,d'une,osrick.,saint-paul,phrase,saint-paul,nouveauté,nouveauté,date,déjà,déjà,déjà,déjà,déjà,déjà,déjà,roi.,monsieur,enfants,enfants,monsieur,monsieur,monsieur,faire,roi.
