rank,exact,k6,k8,k10,k14,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k2877,k5755
11,ophelia,,,,,,abermaligen,,stük,,,,hauptmännern,verwirrungen,salve,giebt,geschüz,geben,anstalten,giebt,,neuen,stük,recht,gemacht,kleinen,geschüz,salve,hören,hören,geben,hören,hören,hören,blutigen,befehl,gemacht,anstalten,hören,anstalten,hören,hören,blutigen,becher,hören,england,geben,england,sollten,oßrik,england,oßrik,oßrik,oßrik,oßrik,oßrik,becher,becher,becher,becher,kan,becher,kan,kan,kan,kan,kan,fortinbras,fortinbras,fortinbras,fortinbras,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,kan,ophelia,ophelia
12,kommt,,,,,,salve,,hört,,,,gerüste,anlaß,kleinen,befehl,,könnten,unverzüglich,befehl,,verwirrungen,hört,königreich,izt,geschüz,,kleinen,traurigem,reden,befehl,herzen,glük,stimme,hören,sollten,geben,gemacht,andre,gemacht,andre,andre,hören,sollten,andre,hören,befehl,hören,england,sollten,geben,sollten,sollten,kommt,sollten,kommt,oßrik,oßrik,trank,oßrik,trank,kan,becher,becher,trank,trank,becher,becher,becher,seyn,seyn,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,todtengräber,kommt
13,bey,,,,,,kleinen,,abermaligen,,,,getragen,geben,geschüz,hamlets,,fortinbras,gemacht,hamlets,,anlaß,abermaligen,zufälle,gemüther,,,geschüz,herzen,munde,stük,recht,traurigem,andre,andre,england,befehl,geben,anstalten,geben,anstalten,anstalten,andre,england,anstalten,andre,trank,andre,hören,england,befehl,england,england,sollten,england,sollten,kommt,kommt,oßrik,kommt,becher,trank,oßrik,trank,becher,becher,trank,oßrik,oßrik,becher,becher,becher,becher,becher,becher,becher,becher,becher,becher,becher,becher,ophelia,ophelia,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,rosenkranz,rosenkranz,rosenkranz,rosenkranz,rosenkranz,rosenkranz,rosenkranz,rosenkranz,rosenkranz,kommt,rosenkranz
14,gehen,,,,,,geschüz,,salve,,,,marschieren,könnten,,leiche,,giebt,izt,leiche,,geben,salve,geltend,bestürzt,,,,recht,stimme,hört,königreich,herzen,ziehen,anstalten,blutigen,england,befehl,gemacht,befehl,gemacht,gemacht,anstalten,blutigen,gemacht,anstalten,becher,anstalten,andre,blutigen,trank,hören,anstalten,england,anstalten,england,sollten,sollten,kommt,sollten,oßrik,oßrik,kommt,oßrik,oßrik,oßrik,oßrik,kommt,kommt,oßrik,oßrik,oßrik,oßrik,oßrik,oßrik,oßrik,oßrik,oßrik,oßrik,oßrik,oßrik,becher,becher,becher,becher,becher,oßrik,rosenkranz,fortinbras,fortinbras,fortinbras,fortinbras,kommt,kommt,kommt,kommt,kommt,rosenkranz,bey
15,rosenkranz,,,,,,,,kleinen,,,,stük,fortinbras,,kriegerischer,,befehl,gemüther,kriegerischer,,könnten,kleinen,veranlaßt,unfähig,,,,königreich,andre,abermaligen,zufälle,recht,lasset,gemacht,hören,blutigen,blutigen,geben,becher,geben,geben,gemacht,hören,geben,gemacht,oßrik,gemacht,anstalten,hören,oßrik,andre,gemacht,hören,gemacht,hören,england,england,sollten,england,kommt,kommt,england,kommt,kommt,kommt,kommt,nein,nein,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,oßrik,oßrik,oßrik,oßrik,oßrik,kommt,becher,becher,kommt,becher,becher,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,bey,gehen
16,geht,,,,,,,,geschüz,,,,hört,giebt,,musik,,hamlets,bestürzt,musik,,giebt,geschüz,hievon,entwürfe,,,,zufälle,ziehen,salve,geltend,königreich,anstalten,izt,sollen,kan,mißlungenenanschläge,befehl,blutigen,befehl,befehl,neuen,herzen,befehl,geben,blutigen,geben,gemacht,reden,kommt,anstalten,geben,andre,geben,andre,kan,kan,england,kan,sollten,sollten,nein,sollten,sollten,england,sollten,seyn,seyn,england,nein,nein,nein,nein,nein,trank,trank,trank,nein,ophelia,ophelia,kommt,kommt,kommt,kommt,kommt,becher,oßrik,oßrik,becher,oßrik,oßrik,oßrik,oßrik,oßrik,becher,becher,gehen,todtengräber
17,vater,,,,,,,,,,,,abermaligen,befehl,,vier,,leiche,unfähig,vier,,befehl,,reden,neuen,,,,geltend,lasset,kleinen,veranlaßt,zufälle,unverzüglich,gemüther,adel,umständliche,erfinder,gerüste,kopf,salve,kriegerischer,verwirrungen,recht,,befehl,hören,befehl,geben,munde,blutigen,gemacht,befehl,anstalten,befehl,anstalten,hören,geben,kan,befehl,england,england,mehr,england,england,nein,england,trank,trank,nein,trank,trank,trank,trank,trank,england,england,england,trank,trank,nein,nein,nein,nein,nein,nein,rosenkranz,kommt,kommt,oßrik,kommt,kommt,becher,becher,becher,oßrik,oßrik,geht,geht
18,sagen,,,,,,,,,,,,salve,hamlets,,hauptmännern,,kriegerischer,entwürfe,hauptmännern,,hamlets,,munde,verwirrungen,,,,veranlaßt,anstalten,geschüz,hievon,geltend,gemacht,bestürzt,zusammen,echte,eignen,getragen,gefallen,kleinen,musik,anlaß,königreich,,trank,betrift,trank,befehl,andre,hören,geben,vergiftet,gemacht,vergiftet,gemacht,andre,befehl,hören,mehr,geben,hören,trank,anstalten,geben,vergiftet,geben,sollten,sollten,trank,sollten,sollten,sollten,sollten,sollten,nein,nein,nein,sollten,england,trank,trank,trank,mehr,trank,trank,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,nein,sagen,sagen
19,güldenstern,,,,,,,,,,,,kleinen,leiche,,gerüste,,musik,neuen,gerüste,,leiche,,stimme,anlaß,,,,hievon,unverzüglich,,reden,veranlaßt,izt,unfähig,beruffen,nachricht,kopf,marschieren,allemdiesem,geschüz,vier,geben,zufälle,,oßrik,umarme,oßrik,gerüste,anstalten,glük,befehl,mehr,geben,mehr,geben,anstalten,vergiftet,andre,trank,befehl,andre,hast,gemacht,befehl,seyn,befehl,england,england,sollten,england,england,england,england,england,vergiftet,vergiftet,vergiftet,england,nein,england,england,england,trank,rosenkranz,rosenkranz,trank,trank,mehr,trank,trank,trank,trank,trank,trank,geht,trank,vater,vater
20,scene,,,,,,,,,,,,geschüz,kriegerischer,,getragen,,vier,verwirrungen,getragen,,kriegerischer,,andre,geben,,,,reden,gemacht,,munde,hievon,gemüther,entwürfe,betrift,verlangt,gefallen,stük,kan,,hauptmännern,könnten,geltend,,trummeln,glük,hast,geschüz,gemacht,traurigem,gerüste,stirbt,befehl,stirbt,befehl,gemacht,mehr,anstalten,hast,nein,anstalten,sollten,geben,nein,mehr,nein,hören,geben,hören,geben,anstalten,geben,geben,geben,mehr,verrätherey,verrätherey,geben,vergiftet,vergiftet,vergiftet,vergiftet,hast,sollten,england,sollten,england,trank,england,england,sollten,sollten,sollten,sollten,trank,england,güldenstern,güldenstern
