rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k2308,k4617
11,let,,,,,,,,,,,peal,much,_exeunt,,,sight,sight,,off._,take,amiss,becomes,amiss,field,captains,like,off._,thy,bodies,field,bodies,soldiers,speak,let,let,let,sir,sir,fortinbras,fortinbras,first,thy,thy,thy,thy,thy,thy,thy,thy,queen,queen,sir,sir,sir,sir,come,sir,come,come,come,come,come,come,come,come,sir,sir,sir,sir,sir,shall,polonius,come,come,osric,osric,clown,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let,let
12,thou,,,,,,,,,,,ordnance,amiss,bearing,,,becomes,becomes,,,sight,bid,field,bid,shows,bear,soldier,,passage,peal,shows,hear,shoot,soldiers,bodies,sir,bodies,queen,let,let,first,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,queen,queen,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,let,let,let,let,let,let,let,let,let,let,sir,first,first,first,first,good,let,clown,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou,thou
13,thy,,,,,,,,,,,shot,bid,bodies,,,field,field,,,becomes,soldiers,shows,soldiers,much,like,stage,,music,ordnance,much,cause,dead,bodies,queen,queen,sir,let,queen,queen,let,let,queen,let,queen,let,let,let,fortinbras,fortinbras,fortinbras,let,let,let,let,let,let,thou,thou,thou,thou,thy,thou,thou,thou,thou,thou,thou,thou,thou,shall,polonius,sir,sir,sir,good,first,osric,thou,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,clown,thy,thy,thy,thy,thy,thy,thy,thy
14,ophelia,,,,,,,,,,,off._,soldiers,peal,,,shows,shows,,,field,shoot,much,shoot,amiss,soldier,likely,,rites,shot,amiss,wild,march._,lord,speak,speak,queen,soldiers,thee,thee,queen,queen,let,queen,let,queen,queen,drink,let,let,let,fortinbras,fortinbras,fortinbras,thou,thou,thou,let,let,let,let,thou,thy,thy,thy,thy,good,good,good,shall,thou,let,let,let,let,let,let,thou,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,osric,thy,clown,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia
15,would,,,,,,,,,,,,shoot,ordnance,,,much,much,,,shows,dead,amiss,dead,bid,stage,put,,war,off._,bid,lest,_exeunt,queen,loudly,soldiers,thee,bodies,speak,first,thee,thee,drink,drink,drink,drink,drink,queen,drink,drink,drink,drink,drink,drink,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,fortinbras,good,good,good,thy,thy,shall,polonius,polonius,thou,thou,thou,good,sir,sir,first,first,first,first,first,first,first,first,first,first,first,first,first,first,first,first,first,osric,ophelia,clown,clown,clown,clown,would,would,would
16,like,,,,,,,,,,,,dead,shot,,,amiss,amiss,,,much,march._,bid,march._,soldiers,likely,prov,,speak,,soldiers,mischance,bearing,thee,take,bodies,war,thee,soldiers,speak,speak,soldiers,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,drink,drink,drink,drink,drink,drink,drink,drink,drink,shall,shall,shall,shall,shall,polonius,good,good,good,good,good,thou,thou,thou,sir,sir,sir,sir,sir,sir,sir,sir,sir,sir,sir,sir,sir,sir,sir,sir,thy,ophelia,osric,osric,osric,osric,would,clown,rosencrantz,rosencrantz
17,rosencrantz,,,,,,,,,,,,march._,off._,,,bid,bid,,,amiss,_exeunt,soldiers,_exeunt,shoot,put,royally,,loudly,,shoot,plots,bodies,hear,sight,,speak,england,bearing,soldiers,soldiers,bodies,speak,england,england,england,speak,give,give,thou,thou,thou,thou,thou,thee,thee,thee,thee,thee,thee,thee,thee,give,fortinbras,fortinbras,drink,drink,polonius,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,thy,rosencrantz,rosencrantz,rosencrantz,rosencrantz,rosencrantz,rosencrantz,rosencrantz,rosencrantz,rosencrantz,ophelia,ophelia,first,first,first,first,first,osric,osric,like,like
18,know,,,,,,,,,,,,_exeunt,,,,shoot,shoot,,,bid,bearing,shoot,bearing,dead,prov,passage,,take,,dead,errors,peal,shall,becomes,,loudly,hear,bodies,bearing,bodies,drink,soldiers,speak,give,give,soldiers,speak,speak,england,england,england,give,give,give,give,give,give,give,give,give,give,shall,drink,drink,give,fortinbras,drink,drink,fortinbras,fortinbras,fortinbras,drink,drink,drink,drink,drink,drink,drink,ophelia,would,rosencrantz,rosencrantz,thy,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,ophelia,thy,sir,sir,sir,sir,sir,would,first,first,sir,know
19,well,,,,,,,,,,,,bearing,,,,dead,dead,,,soldiers,bodies,dead,bodies,march._,royally,music,,sight,,march._,happen,ordnance,cause,field,,take,cause,peal,bodies,drink,england,bodies,soldiers,speak,cause,bodies,soldiers,soldiers,give,give,give,speak,tell,tell,speak,england,tell,england,shall,shall,good,good,thee,give,fortinbras,polonius,fortinbras,give,drink,drink,drink,give,give,fortinbras,fortinbras,give,give,give,drink,rosencrantz,ophelia,ophelia,ophelia,thy,thy,would,would,would,would,would,thy,rosencrantz,rosencrantz,rosencrantz,rosencrantz,rosencrantz,would,sir,sir,rosencrantz,know,sir
20,tis,,,,,,,,,,,,peal,,,,march._,march._,,,shoot,peal,march._,peal,_exeunt,passage,rites,,becomes,,_exeunt,four,shot,presently,shows,,sight,captains,ordnance,peal,england,give,england,bodies,amiss,put,england,bodies,bodies,speak,speak,speak,bodies,england,england,bodies,shall,england,shall,would,good,shall,thee,give,thee,thee,thee,thee,fortinbras,thee,give,thee,fortinbras,fortinbras,thee,thee,fortinbras,fortinbras,fortinbras,would,ophelia,would,would,would,would,would,thy,thy,thy,thy,thy,would,would,would,would,would,would,rosencrantz,rosencrantz,rosencrantz,sir,first,well
