rank,exact,k2,k4,k6,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1925,k3852
11,thisbe,,,,,,,,übersetzt,august,,sommernachtstraum,händen,gewognen,william,,schlegel,gute,willig,gute,ende,,sommernachtstraum,unverdienterweis,etextes,shakespeare,schlegel,nacht,schelm,sehn,bald,sei,übersetzt,sei,elfen,oberon,bald,sei,sei,sei,elfen,elfen,oberon,elfen,tanz,oberon,oberon,elfen,tanz,helena,helena,kommt,kommt,kommt,tot,tot,tot,tot,tot,kommt,kommt,kommt,zettel,zettel,zettel,löwe,löwe,löwe,löwe,löwe,löwe,löwe,löwe,löwe,mond,mond,löwe,löwe,kommt,mond,löwe,mond,löwe,löwe,löwe,squenz,squenz,squenz,wand,wand,wand,droll,droll,droll,droll,droll,droll,droll,droll,droll,droll,droll
12,oberon,,,,,,,,august,wilhelm,,william,ende,händen,shakespeare,,,nacht,geschieht,nacht,projekt,,william,entwischen,sommernachtstraum,übersetzt,,spiel,heißen,bösem,spiel,oberon,august,oberon,sei,droll,demetrius,oberon,oberon,oberon,sei,sei,tanz,sei,elfen,tanz,tanz,oberon,elfen,tanz,tanz,tanz,tanz,hermia,kommt,kommt,kommt,kommt,kommt,tot,tot,zettel,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,kommt,löwe,löwe,mond,löwe,mond,mond,mond,löwe,löwe,löwe,droll,droll,droll,wand,wand,wand,wand,wand,wand,wand,wand,wand,oberon,oberon
13,liebe,,,,,,,,wilhelm,schlegel,,shakespeare,projekt,ende,übersetzt,,,spiel,billig,spiel,gutenberg,,shakespeare,verheißt,william,august,,enden,willig,schlangenzischen,enden,sollt,wilhelm,liebe,titania,bald,tanz,droll,bald,bald,oberon,oberon,haus,oberon,sei,elfen,elfen,tanz,sei,elfen,elfen,elfen,elfen,tanz,tanz,oberon,elfen,nacht,nacht,zettel,zettel,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,tot,squenz,squenz,squenz,mond,mond,mond,mond,mond,löwe,löwe,löwe,löwe,löwe,löwe,löwe,löwe,oberon,oberon,wand,liebe
14,titania,,,,,,,,schlegel,,,übersetzt,gutenberg,projekt,august,,,enden,gute,enden,etextes,,übersetzt,ehre,shakespeare,wilhelm,,begrüßt,geschieht,unverdienterweis,begrüßt,beßres,schlegel,herrn,verschmähn,willig,geschlecht,bald,tanz,tanz,droll,droll,sei,bald,oberon,sei,haus,haus,oberon,sei,oberon,sei,sei,elfen,elfen,nacht,oberon,tanz,zettel,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,droll,droll,droll,droll,droll,droll,tot,droll,droll,droll,droll,droll,löwe,löwe,mond,mond,mond,mond,mond,mond,mond,mond,löwe,löwe,liebe,wand
15,nacht,,,,,,,,,,,august,etextes,gutenberg,wilhelm,,,begrüßt,nacht,begrüßt,sommernachtstraum,,august,droll,übersetzt,schlegel,,gewognen,billig,entwischen,gewognen,sehn,,gar,sollt,geschieht,elfen,geschieht,geschlecht,geschlecht,bald,bald,titania,jetzo,droll,titania,sei,sei,bald,oberon,nacht,oberon,oberon,sei,sei,tanz,nacht,elfen,tanz,tanz,tanz,tanz,tanz,oberon,tanz,tanz,oberon,tanz,tanz,tanz,tanz,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,nacht,nacht,nacht,nacht,squenz,squenz,droll,tot,tot,tot,tot,tot,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,oberon,oberon,oberon,oberon,oberon,mond,mond,nacht,nacht
16,muß,,,,,,,,,,,wilhelm,sommernachtstraum,etextes,schlegel,,,gewognen,spiel,gewognen,william,,wilhelm,bald,august,,,händen,gute,verheißt,händen,bösem,,verschmähn,beßres,billig,haus,billig,haus,haus,etextes,jetzo,sehn,hand,bald,droll,titania,titania,nacht,geschlecht,haus,bald,nacht,oberon,oberon,elfen,tanz,sei,elfen,elfen,elfen,elfen,elfen,tanz,elfen,elfen,tanz,elfen,elfen,oberon,oberon,tanz,tanz,droll,droll,droll,hippolyta,hippolyta,hippolyta,squenz,nacht,nacht,nacht,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,tot,tot,tot,tot,tot,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,hippolyta,titania,titania
17,wand,,,,,,,,,,,schlegel,william,sommernachtstraum,,,,händen,enden,händen,shakespeare,,schlegel,unsres,wilhelm,,,ende,nacht,ehre,ende,schlangenzischen,,sollt,sehn,gute,titania,gute,segnet,titania,sommernachtstraum,leise,bösem,geschlecht,jetzo,bald,droll,droll,helena,haus,sei,nacht,hermia,bald,bald,haus,haus,oberon,oberon,sei,sei,sei,oberon,elfen,sei,oberon,elfen,sei,oberon,hippolyta,hippolyta,elfen,elfen,tanz,tanz,tanz,squenz,squenz,squenz,hippolyta,hippolyta,hippolyta,hippolyta,nacht,nacht,nacht,nacht,nacht,nacht,oberon,oberon,oberon,oberon,tot,tot,tot,tot,tot,tot,tot,muß,muß
18,herz,,,,,,,,,,,,shakespeare,william,,,,ende,begrüßt,ende,übersetzt,,,dankes,schlegel,,,projekt,spiel,droll,projekt,unverdienterweis,,beßres,bösem,nacht,nachtgesichten,nacht,titania,habet,william,hand,schlangenzischen,haus,leise,jetzo,bald,bald,jetzo,titania,titania,hermia,jetzo,nacht,nacht,sei,sei,bald,haus,oberon,oberon,oberon,haus,haus,oberon,hippolyta,sei,oberon,hippolyta,elfen,elfen,oberon,oberon,elfen,elfen,elfen,tanz,tanz,tanz,tanz,tanz,tanz,mondschein,tanz,tanz,tanz,oberon,oberon,oberon,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,nacht,liebe,hippolyta,wohl
19,wohl,,,,,,,,,,,,übersetzt,shakespeare,,,,projekt,gewognen,projekt,august,,,zoll,,,,gutenberg,enden,bald,gutenberg,entwischen,,sehn,schlangenzischen,spiel,eignen,spiel,glaubt,geschlummert,shakespeare,singt,unverdienterweis,segnet,hand,leise,nacht,schelm,leise,ehre,droll,jetzo,geschlecht,jetzo,jetzo,titania,titania,zettel,sei,jetzo,jetzo,jetzo,sei,sei,hippolyta,haus,titania,hippolyta,haus,haus,haus,haus,droll,sei,oberon,oberon,elfen,oberon,elfen,elfen,oberon,elfen,tanz,oberon,mondschein,oberon,mondschein,mondschein,tanz,tanz,mondschein,mondschein,mondschein,mondschein,titania,titania,mondschein,titania,titania,nacht,löwe,herz
20,sei,,,,,,,,,,,,august,übersetzt,,,,gutenberg,händen,gutenberg,wilhelm,,,schelm,,,,etextes,begrüßt,unsres,etextes,verheißt,,bösem,unverdienterweis,enden,hirnes,enden,wohl,geschaut,übersetzt,geschlecht,entwischen,titania,singt,hand,shakespeare,heißen,hand,droll,bald,leise,haus,leise,hand,droll,droll,jetzo,titania,geschlecht,geschlecht,haus,titania,titania,jetzo,sei,gut,jetzo,sei,sei,sei,sei,jetzo,oberon,squenz,squenz,oberon,elfen,sei,sei,mondschein,sei,elfen,mondschein,elfen,mondschein,tanz,tanz,elfen,mondschein,tanz,tanz,tanz,tanz,mondschein,mondschein,tanz,mondschein,liebe,titania,mond,sei
