rank,exact,k8,k10,k12,k14,k16,k18,k20,k22,k24,k26,k28,k30,k32,k34,k36,k38,k40,k42,k44,k46,k48,k50,k52,k54,k56,k58,k60,k62,k64,k66,k68,k70,k72,k74,k76,k78,k80,k82,k84,k86,k88,k90,k92,k94,k96,k98,k100,k102,k104,k106,k108,k110,k112,k114,k116,k118,k120,k122,k124,k126,k128,k130,k132,k134,k136,k138,k140,k142,k144,k146,k148,k150,k152,k154,k156,k158,k160,k162,k164,k166,k168,k170,k172,k174,k176,k178,k180,k182,k184,k186,k188,k190,k192,k194,k196,k198,k200,k1441,k2884
11,thee,,,,,,hands,hands,amends,liar,,else,else,tongue,,honest,,scape,give,amends,,oberon,fairy,hand,fairy,oberon,ever,ever,ever,puck,oberon,fairy,puck,dead,puck,ever,fairy,lysander,dead,love,shall,shall,shall,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,shall,lion,lion,lion,lion,pyramus,pyramus,bottom,wall,thy,thisbe,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee,thee
12,come,,,,,,friends,friends,,call,,liar,liar,make,,unearnèd,,serpent,hands,,,yielding,ever,ever,ever,make,oberon,oberon,oberon,amends,make,ever,amends,hand,amends,oberon,ever,come,fairy,puck,dead,come,hermia,shall,shall,shall,shall,shall,shall,shall,shall,shall,shall,come,man,come,come,come,shall,shall,shall,moon,moon,moon,moon,helena,lion,lion,pyramus,thy,wall,thee,thisbe,thisbe,thisbe,thisbe,pyramus,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come,come
13,pyramus,,,,,,robin,robin,,good,,call,call,ere,,luck,,tongue,friends,,,dream,oberon,oberon,oberon,friends,make,make,make,house,amends,oberon,dead,ever,demetrius,puck,oberon,dead,oberon,come,fairy,dead,come,come,come,come,come,man,man,man,man,man,come,shall,come,shall,shall,shall,come,come,come,come,come,come,come,come,come,bottom,lion,pyramus,pyramus,wall,wall,wall,wall,pyramus,thisbe,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus,pyramus
14,enter,,,,,,restore,restore,,night,,good,good,long,,scape,,make,robin,,,gentles,weak,offended,unearnèd,robin,long,night,liar,hand,thou,make,hand,oberon,dead,amends,puck,hand,puck,dead,puck,fairy,dead,dead,dead,man,man,come,come,come,come,come,man,man,shall,man,man,man,man,man,man,man,man,man,helena,moon,moon,come,thy,lion,lion,pyramus,pyramus,pyramus,pyramus,wall,come,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter
15,quince,,,,,,amends,amends,,unto,,night,night,else,,serpent,,ere,restore,,,reprehend,idle,think,luck,restore,else,unto,call,titania,dead,robin,ever,make,house,die,amends,fairy,love,hand,come,ever,puck,die,die,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,dead,helena,helena,helena,helena,helena,helena,helena,man,man,bottom,moon,come,come,thee,lion,lion,lion,come,come,wall,wall,wall,wall,wall,wall,wall,wall,enter,enter,enter,enter,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe,thisbe
16,thisbe,,,,,,,,,give,,unto,unto,liar,,tongue,,long,amends,,,pardon,theme,mended,scape,amends,liar,give,good,think,house,restore,titania,night,hand,demetrius,die,ever,come,fairy,hand,oberon,die,man,man,fairy,fairy,die,die,die,die,fairy,die,fairy,die,puck,helena,dead,dead,dead,bottom,bottom,bottom,bottom,bottom,bottom,man,thy,moon,thee,come,come,come,come,lion,lion,lion,lion,lion,lion,lion,lion,lion,enter,wall,wall,quince,quince,quince,quince,quince,quince,quince,quince,quince,quince,quince,quince,quince,quince
17,man,,,,,,,,,hands,,give,give,call,,make,,else,,,,mend,yielding,slumber,serpent,,call,hands,night,mended,hand,amends,unearnèd,unto,ever,come,come,oberon,hand,ever,ever,puck,hand,hand,fairy,oberon,oberon,hand,fairy,thy,fairy,oberon,fairy,puck,thy,helena,die,die,die,die,dead,thy,thy,thy,thy,thy,thy,man,man,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,moon,enter,enter,lion,lion,quince,wall,wall,wall,man,man,man,man,man,man,man,man,man,man,man
18,puck,,,,,,,,,friends,,hands,hands,good,,ere,,liar,,,,honest,dream,visions,tongue,,good,friends,unto,slumber,issue,,luck,give,titania,house,house,make,ever,oberon,oberon,amends,fairy,fairy,ever,puck,puck,fairy,ever,hand,oberon,puck,oberon,die,fairy,die,thy,thy,thy,thy,die,dead,dead,dead,thee,thee,thee,thee,thee,man,man,man,man,man,man,man,man,man,man,man,man,moon,moon,moon,quince,lion,lion,lion,man,wall,wall,wall,puck,puck,puck,puck,puck,puck,puck,puck
19,night,,,,,,,,,robin,,friends,friends,night,,long,,call,,,,unearnèd,gentles,appear,make,,night,robin,give,visions,bless,,scape,hands,yielding,hand,hand,amends,titania,amends,make,hermia,ever,ever,oberon,die,die,ever,oberon,fairy,puck,die,puck,thy,oberon,thy,fairy,fairy,bottom,bottom,thy,die,die,thee,dead,dead,dead,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter,enter,man,man,quince,moon,man,man,man,lion,lion,lion,puck,wall,wall,wall,wall,wall,night,night,night
20,sweet,,,,,,,,,restore,,robin,robin,unto,,else,,good,,,,luck,reprehend,weak,ere,,unto,restore,hands,appear,stay,,serpent,friends,dream,issue,issue,die,make,die,amends,die,oberon,oberon,puck,house,hand,oberon,puck,ever,thy,thy,thy,hand,puck,hand,oberon,oberon,fairy,puck,fairy,enter,thee,die,die,die,die,dead,dead,dead,dead,sweet,dead,sweet,sweet,sweet,sweet,sweet,sweet,sweet,sweet,sweet,quince,man,man,moon,moon,moon,moon,moon,puck,lion,lion,lion,lion,lion,night,wall,sweet,sweet
