Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average,Average_Percent,STD,VAR,Estimate,,,,Exact,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,,,Exp 50,Minimum,Maximum,Average,Average_Percent,STD,VAR
L,28,29,28,27,29,27,29,29,28,25,26,27,29,26,25,28,28,28,27,28,32,28,26,27,29,30,27,26,28,27,29,28,28,29,27,27,28,27,27,28,28,26,28,29,27,27,27,25,28,26,25,32,27,3.2807,1.3248,1.7551,27968.2375,27968,,,41971,39553,55937,39553,27968,55937,27968,55937,55937,39553,13983,19776,27968,55937,19776,13983,39553,39553,39553,27968,39553,158216,39553,19776,27968,55937,79107,27968,19776,39553,27968,55937,39553,39553,55937,27968,27968,39553,27968,27968,39553,39553,19776,39553,55937,27968,27968,27968,13983,39553,,,19776,13983,158216,38515,3.910334899,22220.93169,493769805
T,28,27,27,29,26,27,29,28,28,26,26,28,26,28,26,27,27,27,28,28,27,28,28,28,29,26,28,28,29,28,28,29,28,25,28,28,26,28,27,28,29,28,28,27,28,29,29,30,28,28,25,30,27,3.2807,1.0388,1.0792,27968.2375,27968,,,38457,39553,27968,27968,55937,19776,27968,55937,39553,39553,19776,19776,39553,19776,39553,19776,27968,27968,27968,39553,39553,27968,39553,39553,39553,55937,19776,39553,39553,55937,39553,39553,55937,39553,13983,39553,39553,19776,39553,27968,39553,55937,39553,39553,27968,39553,55937,55937,79107,39553,,,39553,13983,79107,37600,3.81743716,12873.75352,165733529.7
C,27,29,27,27,27,28,28,29,28,29,27,31,27,26,27,29,28,28,29,26,29,28,28,30,27,29,27,28,26,25,29,30,27,27,29,25,26,29,27,26,28,26,26,27,27,28,29,28,28,30,25,31,27,3.2807,1.3407,1.7976,27968.2375,27968,,,35251,27968,55937,27968,27968,27968,39553,39553,55937,39553,55937,27968,111875,27968,19776,27968,55937,39553,39553,55937,19776,55937,39553,39553,79107,27968,55937,27968,39553,19776,13983,55937,79107,27968,27968,55937,13983,19776,55937,27968,19776,39553,19776,19776,27968,27968,39553,55937,39553,39553,,,79107,13983,111875,39941,4.055113234,19584.34923,383546734.8
H,26,26,26,26,26,26,25,25,26,24,25,26,24,26,25,24,24,24,26,26,24,27,25,25,25,25,27,23,25,25,25,24,25,22,25,27,27,29,26,25,26,25,27,25,24,25,25,26,25,27,22,29,25,3.0377,1.1886,1.4127,13983.61875,13983,,,23458,19776,19776,19776,19776,19776,19776,13983,13983,19776,9887,13983,19776,9887,19776,13983,9887,9887,9887,19776,19776,9887,27968,13983,13983,13983,13983,27968,6991,13983,13983,13983,9887,13983,4943,13983,27968,27968,55937,19776,13983,19776,13983,27968,13983,9887,13983,13983,19776,13983,,,27968,4943,55937,17146,1.740791956,8040.637949,64651858.63
P,26,25,27,26,25,24,25,25,24,28,27,28,27,26,26,24,26,24,26,26,26,25,23,27,28,26,26,24,24,28,27,25,26,24,29,25,27,26,27,25,30,25,26,26,26,27,26,26,26,25,23,30,25,3.0377,1.3974,1.9527,13983.61875,13983,,,17162,19776,13983,27968,19776,13983,9887,13983,13983,9887,39553,27968,39553,27968,19776,19776,9887,19776,9887,19776,19776,19776,13983,6991,27968,39553,19776,19776,9887,9887,39553,27968,13983,19776,9887,55937,13983,27968,19776,27968,13983,79107,13983,19776,19776,19776,27968,19776,19776,19776,,,13983,6991,79107,21779,2.211169253,12707.03926,161468846.7
V,28,25,25,25,24,25,25,28,26,25,26,27,26,25,23,27,26,25,24,25,23,25,26,25,24,26,24,24,26,26,25,26,25,24,25,26,24,25,27,24,26,24,24,25,24,26,23,24,25,25,23,28,25,3.0377,1.1542,1.3322,13983.61875,13983,,,16282,39553,13983,13983,13983,9887,13983,13983,39553,19776,13983,19776,27968,19776,13983,6991,27968,19776,13983,9887,13983,6991,13983,19776,13983,9887,19776,9887,9887,19776,19776,13983,19776,13983,9887,13983,19776,9887,13983,27968,9887,19776,9887,9887,13983,9887,19776,6991,9887,13983,,,13983,6991,39553,15832,1.60738471,7105.6536,50490313.09
G,26,23,24,25,25,23,25,24,24,26,24,25,25,22,25,26,24,23,24,25,27,23,25,25,23,25,26,25,26,26,25,24,25,23,25,23,25,24,25,22,24,22,25,23,24,24,25,24,24,25,22,27,24,2.9162,1.1429,1.3061,9887.618751,9887,,,12732,19776,6991,9887,13983,13983,6991,13983,9887,9887,19776,9887,13983,13983,4943,13983,19776,9887,6991,9887,13983,27968,6991,13983,13983,6991,13983,19776,13983,19776,19776,13983,9887,13983,6991,13983,6991,13983,9887,13983,4943,9887,4943,13983,6991,9887,9887,13983,9887,9887,,,13983,4943,27968,12231,1.24178388,4733.656878,22407507.44
B,22,26,25,22,25,24,23,27,24,24,25,24,24,27,25,24,26,24,24,26,26,26,25,24,24,22,24,23,23,25,24,23,23,24,24,23,24,26,25,25,23,22,23,26,26,25,24,25,24,24,22,27,24,2.9162,1.2688,1.6098,9887.618751,9887,,,11701,4943,19776,13983,4943,13983,9887,6991,27968,9887,9887,13983,9887,9887,27968,13983,9887,19776,9887,9887,19776,19776,19776,13983,9887,9887,4943,9887,6991,6991,13983,9887,6991,6991,9887,9887,6991,9887,19776,13983,13983,6991,4943,6991,19776,19776,13983,9887,13983,9887,,,9887,4943,27968,12152,1.233763201,5555.160205,30859804.9
F,23,24,25,25,24,24,24,24,24,23,24,25,25,24,21,24,25,24,24,25,24,22,23,25,24,26,23,23,24,22,23,24,23,24,22,25,23,25,24,26,24,24,22,25,25,23,27,23,20,25,20,27,23,2.7947,1.272,1.618,6991.309376,6991,,,10281,6991,9887,13983,13983,9887,9887,9887,9887,9887,6991,9887,13983,13983,9887,3495,9887,13983,9887,9887,13983,9887,4943,6991,13983,9887,19776,6991,6991,9887,4943,6991,9887,6991,9887,4943,13983,6991,13983,9887,19776,9887,9887,4943,13983,13983,6991,27968,6991,2471,,,13983,2471,27968,10376,1.053450212,4493.43407,20190949.74
Q,22,24,26,23,24,23,24,25,23,26,23,23,25,22,24,24,22,24,23,27,25,25,25,25,23,24,26,27,25,23,24,22,23,24,24,22,23,23,25,22,22,22,24,23,23,23,22,23,22,23,22,27,23,2.7947,1.3468,1.8139,6991.309376,6991,,,10009,4943,9887,19776,6991,9887,6991,9887,13983,6991,19776,6991,6991,13983,4943,9887,9887,4943,9887,6991,27968,13983,13983,13983,13983,6991,9887,19776,27968,13983,6991,9887,4943,6991,9887,9887,4943,6991,6991,13983,4943,4943,4943,9887,6991,6991,6991,4943,6991,4943,,,6991,4943,27968,9943,1.009488768,5458.378821,29793899.35
