nodes,k,output,counter,time(sec)
19,3,16 2 11,3,0.0
19,5,0 1 7 17 18,5,0.0
19,7,1 3 6 7 9 12 17,7,0.0
19,11,2 6 8 11 12 13 14 15 16 17 18,11,0.0
19,13,0 1 2 3 4 6 7 9 12 13 14 17 18,13,0.0
19,17,0 1 2 3 4 5 6 7 8 10 11 12 13 14 15 17 18,17,0.0
20,2,16 10,2,0.0
20,3,16 9 13,3,0.0
20,5,1 3 4 12 13,5,0.0
20,7,7 11 13 14 16 18 19,7,0.0
20,11,0 1 3 6 10 12 13 14 15 16 17,11,0.0
20,13,1 3 5 6 7 8 11 12 13 14 16 17 19,13,0.01562666893005371
20,17,0 2 3 4 5 7 8 9 10 11 12 14 15 16 17 18 19,17,0.0
20,19,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19,19,0.0
