nodes,k,output,counter,time(sec)
14,7,0 1 2 3 4 6 13,48048,0.66233229637146
14,11,1 2 3 4 5 6 7 9 10 12 13,5096,0.07218813896179199
14,13,0 1 2 3 4 5 6 7 8 9 10 12 13,196,0.014882087707519531
15,2,3 11,1575,0.08789944648742676
15,3,2 3 7,6825,0.11200356483459473
15,5,0 2 7 8 10,45045,0.49947381019592285
15,7,0 1 2 4 5 8 12,96525,0.7784032821655273
15,11,0 1 2 3 4 5 8 9 10 13 14,20475,0.1606307029724121
15,13,0 1 2 3 4 5 6 7 8 9 10 13 14,1575,0.028135061264038086
16,2,2 6,1920,0.04688239097595215
16,3,0 9 11,8960,0.1040809154510498
16,5,0 2 4 9 10,69888,0.5525569915771484
16,7,0 4 5 6 9 13 14,183040,1.3745241165161133
16,11,0 2 4 6 7 8 9 10 11 14 15,69888,0.5807044506072998
16,13,0 2 4 5 6 7 8 9 10 11 12 14 15,8960,0.09490060806274414
17,2,6 7,2312,0.09030532836914062
17,3,2 4 8,11560,0.14786982536315918
17,5,0 2 3 4 8,105196,0.7980854511260986
17,7,0 1 2 6 7 13 14,330616,2.4866247177124023
17,11,0 1 2 3 4 6 7 11 12 14 16,210392,1.672508955001831
17,13,0 1 3 4 5 6 7 8 11 12 13 14 16,40460,0.4095304012298584
18,2,4 15,2754,0.20207905769348145
18,3,1 3 17,14688,0.24936628341674805
18,5,0 1 5 11 17,154224,1.263871431350708
18,7,1 3 5 8 9 11 16,572832,4.413270473480225
18,11,0 2 3 4 5 8 11 12 14 15 16,572832,4.637344837188721
18,13,0 1 3 4 5 6 8 10 11 12 15 16 17,154224,1.3798744678497314
18,17,0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17,324,0.1518566608428955
19,2,2 3,3249,0.33287906646728516
19,3,0 14 16,18411,0.4313688278198242
19,5,0 1 2 3 16,220932,1.8527016639709473
19,7,0 1 2 5 10 11 15,957372,7.473954916000366
19,11,0 2 3 4 8 9 10 11 15 16 18,1436058,12.032291889190674
19,13,0 1 3 4 5 8 9 10 11 13 15 16 18,515508,4.702319622039795
19,17,0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 18,3249,0.3397350311279297
20,2,8 15,3800,0.7505521774291992
20,3,6 13 18,22800,0.8431522846221924
20,5,5 6 7 13 16,310080,3.065889835357666
20,7,0 2 5 9 11 12 16,1550400,12.7357017993927
20,11,1 2 5 6 7 8 9 10 14 16 18,3359200,29.458086013793945
20,13,1 2 3 4 5 6 7 8 9 13 14 16 18,1550400,13.976848840713501
20,17,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 18,22800,0.8302760124206543
20,19,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,400,0.7231771945953369
