letter,exact,exact_percent,exact_bytes,fixed_minimum,fixed_maximum,fixed_average,fixed_bytes,fixed_average_percent,fixed_estimate,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bytes,decrease_average_percent,decrease_estimate,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
Y,362.0,0.2789,9.0,162,204,181.0,8.0,0.2789,362.0,10.7637,115.8567,0.0,0.0,12,17,14.0,4.0,2.2617,308.0,1.2022,1.4453,54.0,14.9171
Ê,276.0,0.2126,9.0,121,157,136.0,8.0,0.2096,272.0,8.2419,67.9286,4.0,1.4493,11,16,13.0,4.0,2.1002,217.0,1.1657,1.3588,59.0,21.3768
Â,98.0,0.0755,7.0,40,60,49.0,6.0,0.0755,98.0,5.4242,29.422,0.0,0.0,8,13,10.0,4.0,1.6155,76.0,1.1713,1.3718,22.0,22.449
Î,85.0,0.0655,7.0,33,52,42.0,6.0,0.0647,84.0,3.9177,15.3486,1.0,1.1765,8,13,10.0,4.0,1.6155,76.0,1.2545,1.5739,9.0,10.5882
Ç,54.0,0.0416,6.0,17,36,26.0,5.0,0.0401,52.0,3.6292,13.171,2.0,3.7037,7,11,8.0,3.0,1.2924,37.0,1.0759,1.1576,17.0,31.4815
Ù,54.0,0.0416,6.0,18,33,27.0,5.0,0.0416,54.0,3.4346,11.7963,0.0,0.0,6,12,8.0,3.0,1.2924,37.0,1.2848,1.6506,17.0,31.4815
Û,50.0,0.0385,6.0,19,32,24.0,5.0,0.037,48.0,2.9003,8.4118,2.0,4.0,7,11,8.0,3.0,1.2924,37.0,0.9817,0.9637,13.0,26.0
Ô,49.0,0.0377,6.0,16,32,24.0,5.0,0.037,48.0,3.5086,12.3106,1.0,2.0408,6,11,8.0,3.0,1.2924,37.0,1.2122,1.4694,12.0,24.4898
K,32.0,0.0247,5.0,9,24,16.0,4.0,0.0247,32.0,2.9054,8.4412,0.0,0.0,5,10,7.0,3.0,1.1309,26.0,1.2249,1.5004,6.0,18.75
W,20.0,0.0154,5.0,6,15,9.0,4.0,0.0139,18.0,2.1089,4.4473,2.0,10.0,4,8,6.0,3.0,0.9693,18.0,1.0882,1.1841,2.0,10.0
Ï,18.0,0.0139,5.0,5,14,9.0,4.0,0.0139,18.0,2.3043,5.3098,0.0,0.0,4,8,5.0,3.0,0.8078,12.0,0.9026,0.8147,6.0,33.3333
Ë,15.0,0.0116,4.0,3,12,7.0,3.0,0.0108,14.0,1.8867,3.5596,1.0,6.6667,3,7,5.0,3.0,0.8078,12.0,0.9739,0.9486,3.0,20.0
Æ,6.0,0.0046,3.0,0,6,3.0,2.0,0.0046,6.0,1.3704,1.878,0.0,0.0,2,5,3.0,2.0,0.4847,5.0,0.701,0.4914,1.0,16.6667
Ü,1.0,0.0008,0.0,0,1,0.0,-inf,0.0,0.0,0.5047,0.2547,1.0,100.0,1,1,1.0,0.0,0.1616,2.0,0.0,0.0,1.0,100.0
