letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
É,17,18,15,16,18,16,17,18,16,17,15,18,18,16,17,16,19,18,18,17,19,18,16,17,18,16,20,18,17,17,18,18,18,16,16,17,17,18,18,20,17,17,16,17,18,16,17,16,17,20,15,20,17.0,2.7915,1.1747,1.38,873.0
Í,19,18,16,15,16,19,19,16,17,17,19,18,16,17,17,17,16,17,18,17,16,15,19,17,16,17,16,16,17,19,17,17,17,17,18,18,15,18,16,17,15,18,17,19,18,16,20,17,17,15,15,20,17.0,2.7915,1.2428,1.5445,873.0
Z,15,15,16,14,17,14,15,16,17,17,16,15,16,15,16,15,18,13,17,15,16,15,16,16,15,17,16,16,16,15,16,15,17,16,17,15,15,16,17,16,16,16,17,17,18,14,17,15,17,13,13,18,15.0,2.4631,1.1249,1.2653,436.0
J,16,15,14,15,16,16,16,16,16,16,16,14,17,16,14,16,13,13,15,15,15,15,17,17,16,16,14,13,17,16,16,14,15,15,14,14,13,14,16,19,16,16,17,15,18,15,18,17,16,14,13,19,15.0,2.4631,1.3584,1.8453,436.0
Ñ,14,17,13,12,14,14,14,15,15,14,14,15,13,15,16,16,17,12,15,13,15,14,14,15,15,12,14,15,13,16,14,14,15,13,17,15,14,14,16,14,16,13,16,14,14,15,14,14,16,14,12,17,14.0,2.2989,1.2324,1.5188,308.0
X,14,14,11,14,13,13,12,13,13,13,12,13,14,13,15,13,13,14,13,15,13,12,13,14,13,11,15,12,12,16,13,12,14,15,13,13,14,13,14,16,13,14,13,13,14,14,16,13,13,14,11,16,13.0,2.1346,1.1249,1.2653,217.0
Ú,15,14,10,14,12,13,11,13,12,11,13,12,14,12,10,15,11,13,13,16,14,12,13,12,12,12,12,12,14,12,11,15,15,11,11,13,11,11,15,13,13,13,14,13,11,12,11,13,13,13,10,16,12.0,1.9704,1.4126,1.9955,153.0
º,8,8,10,10,9,10,9,10,9,9,9,11,8,11,11,8,10,10,12,10,10,8,9,10,11,9,8,10,8,9,10,8,11,9,11,10,8,9,10,10,10,11,8,11,9,8,7,12,10,13,7,13,9.0,1.4778,1.2792,1.6363,53.0
Ü,6,6,5,4,3,6,4,6,5,7,5,5,6,5,5,6,4,5,6,5,5,6,4,5,3,4,5,5,6,4,3,4,3,5,4,6,4,4,6,5,4,4,5,3,4,4,3,4,6,5,3,7,4.0,0.6568,1.0264,1.0535,8.0
K,3,2,3,3,4,3,3,4,3,4,4,3,3,4,2,3,2,4,3,4,3,2,3,3,3,4,2,3,2,2,3,4,3,2,3,3,4,4,4,3,5,2,4,4,3,1,3,3,3,3,1,5,3.0,0.4926,0.789,0.6224,5.0
W,3,2,3,3,2,4,3,4,4,3,3,4,3,3,3,2,3,2,1,4,2,3,4,3,2,3,3,3,2,3,2,2,2,2,1,2,2,1,2,3,4,2,3,3,4,4,4,4,2,3,1,4,2.0,0.3284,0.864,0.7465,3.0
Ï,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.1642,0.0,0.0,2.0
