letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
X,15,15,15,14,14,15,15,14,12,16,13,17,12,15,16,15,14,14,16,13,15,15,15,14,16,14,16,14,13,14,15,15,13,15,15,15,14,15,13,14,15,13,15,16,13,17,16,15,17,15,12,17,14.0,2.3609,1.1911,1.4188,308.0
È,15,15,14,13,14,15,15,13,14,14,14,14,13,12,15,14,16,13,15,15,12,12,12,14,14,15,14,15,12,14,13,13,12,15,14,13,14,14,12,13,13,16,13,13,18,14,13,13,14,13,12,18,13.0,2.1922,1.2289,1.5102,217.0
Y,15,14,14,14,12,12,12,14,12,14,13,14,12,15,13,13,13,14,16,15,13,13,14,13,14,15,11,13,14,11,13,12,14,11,12,13,14,13,12,12,16,15,14,14,15,13,14,13,13,12,11,16,13.0,2.1922,1.2224,1.4943,217.0
Ê,15,12,13,14,11,14,13,15,12,12,12,14,13,13,12,15,13,14,12,14,13,14,14,13,14,12,11,12,14,14,14,12,12,14,11,11,14,14,14,11,14,12,12,15,12,11,12,11,12,12,11,15,12.0,2.0236,1.2395,1.5363,153.0
Î,11,14,10,11,12,14,12,9,13,13,12,12,10,14,12,12,11,11,12,11,11,12,11,14,12,12,11,13,12,12,11,11,12,10,12,11,13,12,13,13,13,13,11,13,13,11,12,12,12,12,9,14,11.0,1.855,1.1036,1.218,108.0
Ù,9,10,10,11,15,10,10,12,10,9,9,9,12,11,12,10,11,8,12,11,12,12,9,10,12,10,9,9,10,10,10,10,10,10,11,9,12,10,10,11,8,9,10,9,11,8,10,10,9,9,8,15,10.0,1.6863,1.3248,1.7551,76.0
Ô,7,9,8,9,8,10,10,9,9,9,9,11,7,8,7,8,9,11,9,9,11,9,11,10,7,10,11,9,11,11,9,9,7,9,8,10,10,8,10,9,9,9,10,9,9,8,11,10,9,11,7,11,9.0,1.5177,1.1952,1.4286,53.0
Â,8,8,8,8,9,8,10,9,9,10,8,8,8,9,10,9,9,10,8,9,7,10,9,10,10,9,8,9,10,8,10,8,9,8,10,10,9,8,9,10,9,9,10,9,12,10,10,8,9,10,7,12,9.0,1.5177,0.9467,0.8963,53.0
Û,10,8,9,6,9,8,8,10,7,8,9,9,9,7,7,8,8,11,8,8,9,10,9,9,9,7,9,9,8,9,10,7,6,9,9,9,7,9,10,10,7,7,7,8,7,8,10,6,9,8,6,11,8.0,1.3491,1.1911,1.4188,37.0
K,7,8,8,9,10,7,7,9,11,7,9,8,8,6,6,8,7,6,7,8,8,7,8,8,6,9,9,9,7,8,7,8,9,10,8,8,8,7,7,8,5,9,8,9,6,9,7,8,9,9,5,11,7.0,1.1804,1.1891,1.4139,26.0
W,5,5,6,7,5,4,6,6,5,5,5,5,6,3,4,7,6,5,5,7,5,5,6,5,6,6,5,6,4,6,5,7,6,6,6,6,5,5,4,4,6,6,5,5,5,5,5,5,4,5,3,7,5.0,0.8432,0.8676,0.7527,12.0
Ç,5,5,5,7,6,6,7,6,6,6,6,4,8,5,7,6,5,6,5,6,6,6,6,5,7,5,5,5,5,6,4,6,5,6,5,6,6,4,6,5,5,5,6,5,7,5,6,5,5,5,4,8,5.0,0.8432,0.833,0.6939,12.0
Ï,4,5,4,6,6,4,5,2,6,5,4,3,6,4,3,4,4,4,5,5,5,2,3,4,4,4,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,3,2,4,5,3,5,3,5,2,6,4.0,0.6745,0.9949,0.9898,8.0
Ë,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1.0,0.1686,0.4629,0.2143,2.0
