letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
Y,16,14,16,14,15,15,17,17,16,14,15,15,16,15,16,15,16,16,15,18,15,15,16,14,16,16,16,16,16,16,13,13,16,14,14,17,15,15,14,16,15,14,15,18,16,16,17,15,15,15,13,18,15.0,2.2971,1.1066,1.2245,436.0
X,16,16,16,16,13,15,16,15,17,14,16,16,15,16,15,15,20,18,15,16,18,15,16,16,16,17,17,18,16,16,15,16,15,15,15,16,15,16,15,15,14,16,16,16,15,15,14,15,15,15,13,20,15.0,2.2971,1.165,1.3571,436.0
Z,15,17,16,16,18,14,15,17,16,15,15,15,13,14,18,15,16,15,15,15,14,13,15,17,15,16,14,14,16,14,14,15,15,15,17,14,16,15,15,15,15,15,14,15,13,15,16,14,18,14,13,18,15.0,2.2971,1.2182,1.4841,436.0
È,18,16,16,16,14,15,15,14,15,16,14,15,17,16,14,14,16,15,18,16,20,18,14,18,17,16,14,17,16,14,15,16,17,16,17,16,15,14,16,16,15,16,15,14,15,16,16,14,15,17,14,20,15.0,2.2971,1.3439,1.8061,436.0
Ê,14,13,13,13,14,14,17,14,14,13,14,13,15,14,13,15,15,16,15,15,15,13,17,15,12,16,16,15,15,15,14,13,13,15,13,14,15,12,11,14,12,14,13,16,13,14,13,14,11,15,11,17,14.0,2.144,1.3547,1.8351,308.0
Â,10,12,11,11,11,11,13,13,14,11,12,10,11,12,13,12,12,11,10,12,11,12,11,12,11,12,11,12,14,13,11,12,12,11,13,12,11,13,12,10,12,10,11,11,13,12,14,11,9,10,9,14,11.0,1.6845,1.1229,1.2608,108.0
W,13,11,11,12,12,11,8,10,12,12,10,12,11,12,11,10,10,10,10,12,12,12,10,12,12,14,12,12,10,12,11,11,10,12,13,12,12,13,12,10,11,11,11,14,11,10,12,11,10,9,8,14,11.0,1.6845,1.1959,1.4302,108.0
Ù,10,10,11,10,10,10,10,8,11,9,11,10,9,11,11,13,11,11,10,12,10,10,10,10,9,11,9,12,10,13,11,11,11,11,11,10,10,11,9,12,11,9,10,10,11,11,9,9,11,11,8,13,10.0,1.5314,1.0319,1.0649,76.0
Î,10,11,9,10,11,11,11,10,12,10,10,11,11,12,11,12,11,13,14,9,10,11,11,11,11,11,10,9,11,9,11,10,11,9,12,12,13,10,8,11,10,10,11,10,10,12,13,10,12,10,8,14,10.0,1.5314,1.1877,1.4106,76.0
Ô,10,11,10,10,10,10,11,12,9,10,11,11,10,10,10,8,11,10,8,9,9,12,8,10,9,10,11,10,10,9,10,10,10,10,10,11,9,10,9,10,9,8,11,8,9,10,10,10,10,8,8,12,9.0,1.3783,0.9833,0.9669,53.0
Û,9,8,9,11,8,10,10,11,8,8,8,10,9,10,10,11,10,10,9,9,10,10,12,9,10,9,9,9,10,8,6,9,8,10,10,10,9,9,9,11,8,8,10,11,8,9,7,8,11,10,6,12,9.0,1.3783,1.1824,1.398,53.0
Ç,7,9,7,7,8,9,8,10,10,9,9,9,9,8,11,8,8,11,10,10,8,12,9,11,8,8,12,9,11,9,8,9,10,9,9,8,11,7,10,10,11,11,9,12,11,9,10,9,11,9,7,12,9.0,1.3783,1.3644,1.8616,53.0
K,10,10,10,9,12,10,9,9,9,11,12,9,9,8,11,10,10,10,9,9,10,9,10,9,10,8,8,9,10,10,8,11,10,10,10,10,11,10,11,9,12,10,12,10,7,11,9,11,9,10,7,12,9.0,1.3783,1.1066,1.2245,53.0
Ë,6,5,6,4,7,6,7,5,6,5,5,7,6,7,5,4,6,6,5,5,6,6,7,7,5,5,6,7,7,4,6,6,5,7,6,6,6,8,6,3,5,7,6,8,6,4,7,6,6,6,3,8,5.0,0.7657,1.05,1.1024,12.0
Ï,4,3,2,3,2,3,4,3,3,3,3,4,3,4,3,3,2,3,2,2,2,4,4,3,3,5,3,4,3,2,3,3,3,3,3,3,3,3,3,3,4,2,2,3,5,3,4,3,5,3,2,5,3.0,0.4594,0.773,0.5976,5.0
Æ,2,2,3,3,3,1,3,3,4,3,3,4,1,2,4,2,3,3,3,2,2,2,3,2,3,2,3,3,1,2,3,3,2,4,3,1,2,4,3,2,2,3,2,2,3,3,2,3,3,3,1,4,2.0,0.3063,0.7825,0.6122,3.0
Ò,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1.0,0.1531,0.4431,0.1963,2.0
