letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
Î,11,12,9,9,9,10,10,9,11,9,10,9,9,10,12,12,10,9,11,12,10,9,9,11,10,10,11,10,12,12,10,11,9,12,10,10,10,11,10,10,12,13,8,9,8,12,8,12,10,10,8,13,10.0,1.6155,1.2545,1.5739,76.0
Û,7,9,7,8,7,9,9,9,10,7,9,9,9,9,10,11,10,8,7,10,9,8,9,8,10,8,9,8,9,8,9,9,10,9,9,8,7,9,10,8,8,8,9,10,7,8,8,9,9,9,7,11,8.0,1.2924,0.9817,0.9637,37.0
Ù,7,8,8,8,8,8,9,9,7,9,8,12,7,8,8,10,11,10,8,8,11,8,9,10,9,8,8,8,10,10,6,10,10,8,8,7,7,10,9,9,10,10,9,9,8,9,7,8,7,11,6,12,8.0,1.2924,1.2848,1.6506,37.0
Ô,8,11,9,8,8,10,8,7,10,7,10,8,9,8,8,7,7,10,8,11,8,8,8,7,9,8,9,8,8,10,7,7,7,9,9,6,8,9,8,6,10,8,8,9,9,10,8,11,8,8,6,11,8.0,1.2924,1.2122,1.4694,37.0
Ç,11,10,10,9,8,8,7,8,9,9,8,8,9,9,10,10,9,10,9,10,8,7,8,9,10,7,7,9,10,9,8,7,9,8,7,10,11,9,9,8,9,8,8,9,9,11,9,9,9,10,7,11,8.0,1.2924,1.0759,1.1576,37.0
K,8,7,8,6,10,9,6,8,7,8,7,7,8,7,6,6,7,6,8,7,5,7,8,7,7,6,7,7,9,9,6,8,6,10,7,7,6,8,5,9,8,8,9,8,10,8,7,6,6,8,5,10,7.0,1.1309,1.2249,1.5004,26.0
W,6,7,6,6,7,4,7,6,6,7,6,6,5,8,7,6,5,7,5,8,7,8,7,4,5,6,7,8,5,8,6,4,6,6,7,6,6,6,5,5,5,4,8,6,6,6,6,7,6,6,4,8,6.0,0.9693,1.0882,1.1841,18.0
Ï,6,6,5,6,4,6,6,7,7,6,7,6,6,7,5,7,7,5,6,6,8,6,6,5,4,8,6,7,5,5,6,5,6,7,6,7,7,6,5,5,5,6,5,5,6,7,6,6,6,5,4,8,5.0,0.8078,0.9026,0.8147,12.0
Ë,6,7,6,5,5,6,6,6,5,5,5,6,6,5,6,4,5,6,6,5,6,7,5,7,7,6,5,6,6,3,5,4,6,6,3,5,6,5,5,5,5,5,4,4,7,5,7,6,7,5,3,7,5.0,0.8078,0.9739,0.9486,12.0
Æ,3,4,3,3,4,3,3,3,3,3,3,3,3,2,3,4,4,3,3,4,4,4,3,2,4,3,3,4,3,2,4,4,3,4,4,4,2,3,5,3,2,4,4,4,4,3,3,2,3,3,2,5,3.0,0.4847,0.701,0.4914,5.0
Ü,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.1616,0.0,0.0,2.0
