letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
X,14,16,18,15,15,15,17,16,16,17,17,19,15,16,17,17,16,17,19,17,16,16,16,16,16,16,15,17,15,14,16,17,16,18,16,16,19,16,14,15,15,17,16,14,14,17,15,16,18,15,14,19,16.0,2.4465,1.272,1.618,617.0
À,18,16,18,18,15,16,16,15,17,17,16,18,17,17,14,14,16,16,17,17,15,15,16,17,19,15,18,16,17,16,14,15,18,18,18,15,19,16,17,16,17,16,14,15,17,19,17,17,16,17,14,19,16.0,2.4465,1.328,1.7637,617.0
È,15,15,16,17,17,15,16,16,15,16,15,17,16,14,15,18,17,17,16,14,15,15,15,12,16,17,17,18,14,16,14,17,16,16,17,15,16,17,16,16,16,16,14,15,17,15,16,15,17,16,12,18,15.0,2.2936,1.1657,1.3588,436.0
Z,13,14,14,14,13,15,13,17,15,16,17,17,14,14,16,14,13,15,13,14,16,15,16,16,14,12,18,16,13,14,16,17,14,16,16,16,14,15,15,14,15,14,14,16,15,14,14,14,14,15,12,18,14.0,2.1407,1.3138,1.7261,308.0
K,14,15,15,13,15,16,13,15,14,16,15,15,13,14,12,11,12,13,14,13,11,14,15,13,17,13,14,13,14,15,13,13,13,14,13,12,12,13,14,12,13,14,15,15,16,14,13,12,11,13,11,17,13.0,1.9878,1.3667,1.8678,217.0
Ê,14,12,16,13,18,13,16,13,14,13,14,14,14,15,15,15,13,15,13,17,12,13,12,17,13,14,15,13,12,14,13,14,14,15,13,13,15,13,15,14,13,14,15,14,13,14,12,11,12,15,11,18,13.0,1.9878,1.4234,2.0261,217.0
Â,12,12,14,11,12,12,11,14,11,11,14,12,12,14,12,12,13,13,15,14,12,14,13,12,12,13,14,13,14,12,11,12,14,14,10,13,15,12,13,13,13,12,14,14,13,14,11,11,12,13,10,15,12.0,1.8349,1.1856,1.4057,153.0
Î,8,12,10,11,12,10,12,11,11,12,11,12,12,9,11,11,12,11,10,12,11,10,11,11,12,10,11,11,10,10,10,10,11,12,10,12,13,11,11,12,10,12,11,11,13,10,11,10,12,12,8,13,11.0,1.682,0.9998,0.9996,108.0
Ô,11,11,12,8,11,11,9,9,10,12,12,9,9,11,10,11,10,11,10,10,12,10,11,9,10,10,10,11,10,9,10,11,11,10,10,11,13,13,11,12,10,10,11,11,11,9,10,12,9,12,8,13,10.0,1.5291,1.111,1.2343,76.0
W,11,11,8,9,11,11,10,11,7,9,8,8,8,9,8,9,8,11,9,9,10,10,7,7,9,9,8,10,7,10,8,11,9,9,12,8,8,10,11,9,9,9,12,9,9,7,9,8,10,10,7,12,9.0,1.3761,1.3354,1.7833,53.0
Û,8,9,9,9,9,8,10,8,9,8,8,10,9,9,11,9,10,11,9,11,8,8,10,8,9,9,10,9,9,9,9,12,6,10,8,8,9,8,8,10,10,8,9,8,10,10,11,7,9,8,6,12,9.0,1.3761,1.1337,1.2853,53.0
Ù,8,10,11,12,8,9,8,11,10,11,9,11,11,10,12,8,12,9,11,9,11,9,8,9,11,9,9,10,11,10,11,9,10,11,10,9,9,9,10,10,8,12,9,12,11,11,9,11,10,8,8,12,9.0,1.3761,1.2428,1.5445,53.0
Ç,7,9,9,10,9,8,7,10,9,8,9,7,6,8,6,7,8,8,9,10,8,10,8,8,8,8,8,7,6,8,7,8,9,8,8,10,8,7,8,8,7,9,7,8,7,9,9,9,9,6,6,10,8.0,1.2232,1.085,1.1771,37.0
Ï,4,4,3,3,3,4,5,1,5,3,3,4,3,4,3,5,3,3,4,5,3,4,3,4,4,4,5,2,3,4,3,3,3,3,3,3,4,4,4,4,4,5,4,4,3,4,3,3,3,2,1,5,3.0,0.4587,0.8381,0.7024,5.0
Ë,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,1,2,1.0,0.1529,0.4785,0.229,2.0
