letter,exp 1,exp 2,exp 3,exp 4,exp 5,exp 6,exp 7,exp 8,exp 9,exp 10,exp 11,exp 12,exp 13,exp 14,exp 15,exp 16,exp 17,exp 18,exp 19,exp 20,exp 21,exp 22,exp 23,exp 24,exp 25,exp 26,exp 27,exp 28,exp 29,exp 30,exp 31,exp 32,exp 33,exp 34,exp 35,exp 36,exp 37,exp 38,exp 39,exp 40,exp 41,exp 42,exp 43,exp 44,exp 45,exp 46,exp 47,exp 48,exp 49,exp 50,minimum,maximum,average,average_percent,STD,VAR,estimate
Z,14,13,14,14,15,14,13,16,15,13,13,13,14,13,15,14,13,15,15,14,12,13,13,14,14,14,13,15,16,16,12,14,14,14,13,11,12,13,14,14,13,14,14,14,14,12,16,14,16,15,11,16,13.0,2.0934,1.143,1.3065,217.0
W,11,12,11,13,12,12,12,11,11,11,10,12,8,10,13,13,12,10,12,10,12,11,12,10,11,11,11,13,12,12,13,11,11,11,13,12,11,12,12,11,11,10,9,13,11,11,12,8,10,11,8,13,11.0,1.7713,1.1787,1.3894,108.0
Î,10,9,9,9,9,11,11,11,10,10,10,10,10,11,9,11,10,12,10,9,12,9,10,10,9,10,8,10,10,12,11,8,9,10,10,10,10,9,9,10,10,8,9,12,12,10,13,10,11,11,8,13,10.0,1.6103,1.1141,1.2412,76.0
Ù,10,11,9,9,7,10,10,11,9,8,10,11,11,10,10,9,8,12,10,10,10,11,10,12,12,11,13,10,9,11,8,12,10,9,11,11,11,8,8,11,11,8,11,9,9,11,9,8,10,13,7,13,10.0,1.6103,1.3845,1.9167,76.0
Â,11,12,11,9,12,9,13,10,10,10,12,10,10,10,10,12,13,10,10,10,10,10,11,11,12,10,12,11,11,10,12,10,12,12,11,11,9,13,11,11,11,11,11,11,10,9,10,10,11,10,9,13,10.0,1.6103,1.0412,1.0841,76.0
Ô,10,8,9,10,10,9,9,9,11,8,9,9,8,8,12,10,10,11,10,10,10,10,8,12,7,10,10,10,8,10,10,11,11,9,8,8,11,8,11,11,10,11,8,9,9,9,10,12,9,10,7,12,9.0,1.4493,1.2122,1.4694,53.0
Û,8,10,10,9,11,8,7,10,9,8,7,10,9,10,9,10,10,8,11,12,10,9,8,8,10,9,8,7,10,8,8,9,8,9,9,10,8,9,9,10,12,8,9,12,8,8,9,11,8,11,7,12,9.0,1.4493,1.2835,1.6473,53.0
K,7,8,8,7,10,10,11,10,8,8,10,10,10,8,9,9,10,8,9,10,8,12,10,10,8,8,9,9,8,8,9,8,10,9,8,9,10,9,8,8,9,10,9,7,8,10,11,8,9,10,7,12,8.0,1.2882,1.1156,1.2445,37.0
Ç,7,8,7,9,9,7,9,7,9,9,8,7,8,10,8,8,8,7,8,9,7,11,7,10,9,8,8,7,7,7,8,6,9,8,8,8,7,9,10,9,9,9,10,7,8,7,9,9,7,8,6,11,8.0,1.2882,1.0759,1.1576,37.0
Ë,3,2,5,2,3,3,3,2,2,4,2,2,2,3,3,3,5,4,4,3,3,2,3,4,2,3,2,3,3,2,3,4,3,3,3,4,3,4,3,4,3,3,3,4,3,3,4,4,3,3,2,5,3.0,0.4831,0.7783,0.6057,5.0
Æ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.161,0.0,0.0,2.0
Ï,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,2,1,2,1.0,0.161,0.4712,0.222,2.0
