Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21,Exp 22,Exp 23,Exp 24,Exp 25,Exp 26,Exp 27,Exp 28,Exp 29,Exp 30,Exp 31,Exp 32,Exp 33,Exp 34,Exp 35,Exp 36,Exp 37,Exp 38,Exp 39,Exp 40,Exp 41,Exp 42,Exp 43,Exp 44,Exp 45,Exp 46,Exp 47,Exp 48,Exp 49,Exp 50,Minimum,Maximum,Average
M,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219,111219
U,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697,128697
D,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127,149127
L,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657,169657
H,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584,236584
R,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250,237250
N,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751,242751
S,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518,248518
I,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329,253329
A,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594,288594
O,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890,313890
T,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987,328987
E,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147,446147
